dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,250,1e-06,1.0524249540176243,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,250,1e-06,1.9395557651296258,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,250,1e-06,2.031787179177627,2,5.0,1.0,1.0,4.113943080704724e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,500,1e-06,1.0213753171265125,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,500,1e-06,1.838002571836114,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,500,1e-06,2.049225915921852,2,5.0,1.0,1.0,4.113943080704724e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,1000,1e-06,1.0444790560286492,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,1000,1e-06,1.8712339110206813,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,1000,1e-06,2.081673647975549,2,5.0,1.0,1.0,4.113943080704724e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,3000,1e-06,1.0323926180135459,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,3000,1e-06,1.8832647819072008,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
