dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss,C,error
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,7000.0,0.0001,0.0959543619537726,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,7000.0,0.0001,0.4744486319832504,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,7000.0,0.0001,0.6582663360750303,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,8000.0,0.0001,0.07697239599656314,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,8000.0,0.0001,0.5377394750248641,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,8000.0,0.0001,0.5867825059685856,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,9000.0,0.0001,0.04958610201720148,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,9000.0,0.0001,0.49205843498930335,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,9000.0,0.0001,0.5496555250138044,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,0.0,1e-06,0.04990008089225739,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,0.0,1e-06,0.4980746830115095,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,ERROR,l2,0.0,0.01,lbfgs,10000,,1e-06,,,,,,,,Option 'optim iteration limit': value out-of-bounds
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,200.0,1e-06,0.048862939001992345,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,200.0,1e-06,0.4866407070076093,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,200.0,1e-06,0.5867891160305589,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,400.0,1e-06,0.0778818039689213,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,400.0,1e-06,0.4820788939250633,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,400.0,1e-06,0.5524975190637633,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,500.0,1e-06,0.04870221496094018,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,500.0,1e-06,0.4744366779923439,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500.0,1e-06,0.5406709150411189,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,800.0,1e-06,0.04884574201423675,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,800.0,1e-06,0.48066001397091895,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,800.0,1e-06,0.5513855209574103,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000.0,1e-06,0.04855055396910757,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000.0,1e-06,0.48482693696860224,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000.0,1e-06,0.5580461929785088,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,2000.0,1e-06,0.048793281079269946,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,2000.0,1e-06,0.5840463220374659,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,2000.0,1e-06,0.6659413840388879,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000.0,1e-06,0.07601951598189771,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000.0,1e-06,0.5173520189709961,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000.0,1e-06,0.5876519989687949,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,4000.0,1e-06,0.048652228084392846,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,4000.0,1e-06,0.47409354196861386,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,4000.0,1e-06,0.5551551560638472,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
