dataset,repeat,approach,penalty,alpha,lambda,C,solver,max_iter,tol,error,max_iter_single,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,500.0,0.10864930402021855,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,500.0,0.4942672640318051,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,800.0,0.04498907004017383,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,800.0,0.06907325400970876,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,800.0,0.4815918329404667,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,1000.0,0.0802491350332275,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,1000.0,0.1230746500659734,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,1000.0,0.5671607059193775,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,2000.0,0.1119367639767006,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,2000.0,0.17536275298334658,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,2000.0,0.649443992995657,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,3000.0,0.05206629203166813,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,3000.0,0.09144922997802496,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,3000.0,0.532224718015641,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,ERROR,l2,0.0,0.0001,,lbfgs,3000,0.01,Option 'optim iteration limit': value out-of-bounds,,,,,,,
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,50.0,0.04554909304715693,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,50.0,0.07703980000223964,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,50.0,0.021936106029897928,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,100.0,0.03697903093416244,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,100.0,0.12362405599560589,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,100.0,0.03779496194329113,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,200.0,0.13463301595766097,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,200.0,0.06743786588776857,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,200.0,0.05034030298702419,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,500.0,0.061316961073316634,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,500.0,0.11328393302392215,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,500.0,0.041717894026078284,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,800.0,0.06820221105590463,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,800.0,0.06409644603263587,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,800.0,0.04318500100634992,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,1000.0,0.08012606902047992,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,1000.0,0.0790612690616399,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,1000.0,0.04292802105192095,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,2000.0,0.06799559493083507,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,2000.0,0.05901065096259117,,,1.0,1.0,2.632357019114949e-06
